"business_id","date","ViolationTypeID","risk_category","description"
73,"20131220",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
73,"20140522",103139,"Low Risk","Improper food storage"
73,"20140522",103142,"Low Risk","Unclean nonfood contact surfaces"
73,"20140522",103133,"Moderate Risk","Foods not protected from contamination"
73,"20130524",103139,"Low Risk","Improper food storage"
73,"20130524",103133,"Moderate Risk","Foods not protected from contamination"
73,"20130524",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
73,"20150717",103103,"High Risk","High risk food holding temperature "
73,"20150717",103138,"Low Risk","Improper storage use or identification of toxic substances"
73,"20150717",103139,"Low Risk","Improper food storage"
73,"20150717",103145,"Low Risk","Improper storage of equipment utensils or linens"
73,"20150717",103161,"Low Risk","Low risk vermin infestation"
76,"20140612",103145,"Low Risk","Improper storage of equipment utensils or linens"
76,"20140612",103156,"Low Risk","Permit license or inspection report not posted"
76,"20131118",103145,"Low Risk","Improper storage of equipment utensils or linens"
77,"20160311",103103,"High Risk","High risk food holding temperature "
77,"20160311",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
77,"20140612",103120,"Moderate Risk","Moderate risk food holding temperature "
77,"20140612",103156,"Low Risk","Permit license or inspection report not posted"
77,"20141124",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
77,"20141124",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
80,"20131204",103115,"High Risk","Other high risk violation"
80,"20131204",103103,"High Risk","High risk food holding temperature "
81,"20140210",103133,"Moderate Risk","Foods not protected from contamination"
81,"20140210",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
81,"20150330",103120,"Moderate Risk","Moderate risk food holding temperature "
81,"20130417",103120,"Moderate Risk","Moderate risk food holding temperature "
85,"20140603",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
85,"20140603",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
85,"20140603",103161,"Low Risk","Low risk vermin infestation"
85,"20140603",103145,"Low Risk","Improper storage of equipment utensils or linens"
85,"20140603",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
85,"20130909",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
85,"20130909",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
85,"20130909",103142,"Low Risk","Unclean nonfood contact surfaces"
85,"20130909",103130,"Moderate Risk","Inadequate sewage or wastewater disposal"
85,"20130909",103120,"Moderate Risk","Moderate risk food holding temperature "
85,"20150727",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
85,"20150727",103108,"High Risk","Contaminated or adulterated food"
85,"20150727",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
85,"20150727",103120,"Moderate Risk","Moderate risk food holding temperature "
85,"20150727",103114,"High Risk","High risk vermin infestation"
88,"20140211",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
88,"20140211",103142,"Low Risk","Unclean nonfood contact surfaces"
88,"20140211",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
88,"20140211",103108,"High Risk","Contaminated or adulterated food"
88,"20140319",103109,"High Risk","Unclean or unsanitary food contact surfaces"
88,"20140319",103105,"High Risk","Improper cooling methods"
88,"20140211",103103,"High Risk","High risk food holding temperature "
88,"20141014",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
88,"20141014",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
88,"20141014",103131,"Moderate Risk","Moderate risk vermin infestation"
88,"20141014",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
88,"20141014",103108,"High Risk","Contaminated or adulterated food"
88,"20141014",103103,"High Risk","High risk food holding temperature "
88,"20130415",103109,"High Risk","Unclean or unsanitary food contact surfaces"
88,"20130415",103123,"Moderate Risk","Food in poor condition"
88,"20130415",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
88,"20130415",103156,"Low Risk","Permit license or inspection report not posted"
88,"20150824",103156,"Low Risk","Permit license or inspection report not posted"
88,"20150824",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
88,"20150824",103103,"High Risk","High risk food holding temperature "
95,"20140506",103129,"Moderate Risk","Insufficient hot water or running water"
95,"20140506",103156,"Low Risk","Permit license or inspection report not posted"
95,"20140506",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
95,"20140506",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20140506",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
95,"20141009",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20141009",103139,"Low Risk","Improper food storage"
95,"20141009",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20141009",103114,"High Risk","High risk vermin infestation"
95,"20141009",103157,"Low Risk","Food safety certificate or food handler card not available"
95,"20130515",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20130515",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
95,"20130515",103139,"Low Risk","Improper food storage"
95,"20130515",103131,"Moderate Risk","Moderate risk vermin infestation"
95,"20151210",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20151210",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20151210",103131,"Moderate Risk","Moderate risk vermin infestation"
95,"20151210",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
98,"20160316",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
98,"20140324",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
98,"20130819",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
98,"20150629",103131,"Moderate Risk","Moderate risk vermin infestation"
98,"20150629",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
99,"20150811",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
99,"20150811",103147,"Low Risk","Inadequate ventilation or lighting"
99,"20150811",103145,"Low Risk","Improper storage of equipment utensils or linens"
99,"20150811",103133,"Moderate Risk","Foods not protected from contamination"
99,"20150811",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
99,"20150811",103132,"Moderate Risk","Improper thawing methods "
99,"20150811",103131,"Moderate Risk","Moderate risk vermin infestation"
99,"20150811",103139,"Low Risk","Improper food storage"
101,"20140902",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
102,"20140507",103147,"Low Risk","Inadequate ventilation or lighting"
102,"20140507",103109,"High Risk","Unclean or unsanitary food contact surfaces"
102,"20130829",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
102,"20130829",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
102,"20130829",103142,"Low Risk","Unclean nonfood contact surfaces"
108,"20150417",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
108,"20150417",103133,"Moderate Risk","Foods not protected from contamination"
108,"20131105",103155,"Low Risk","Unapproved  living quarters in food facility"
108,"20131105",103156,"Low Risk","Permit license or inspection report not posted"
108,"20131105",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
108,"20131105",103147,"Low Risk","Inadequate ventilation or lighting"
108,"20131105",103131,"Moderate Risk","Moderate risk vermin infestation"
108,"20131105",103133,"Moderate Risk","Foods not protected from contamination"
108,"20131105",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
116,"20140910",103120,"Moderate Risk","Moderate risk food holding temperature "
116,"20130416",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
116,"20130416",103120,"Moderate Risk","Moderate risk food holding temperature "
116,"20130416",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
121,"20140129",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
121,"20140129",103103,"High Risk","High risk food holding temperature "
121,"20140129",103139,"Low Risk","Improper food storage"
121,"20140813",103133,"Moderate Risk","Foods not protected from contamination"
121,"20140813",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
121,"20140813",103150,"Low Risk","Improper or defective plumbing"
121,"20140813",103161,"Low Risk","Low risk vermin infestation"
121,"20151020",103138,"Low Risk","Improper storage use or identification of toxic substances"
121,"20151020",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
121,"20151020",103131,"Moderate Risk","Moderate risk vermin infestation"
121,"20151020",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
125,"20130529",103156,"Low Risk","Permit license or inspection report not posted"
125,"20130529",103139,"Low Risk","Improper food storage"
126,"20140410",103142,"Low Risk","Unclean nonfood contact surfaces"
126,"20140410",103108,"High Risk","Contaminated or adulterated food"
126,"20140410",103114,"High Risk","High risk vermin infestation"
126,"20140410",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
126,"20140410",103139,"Low Risk","Improper food storage"
126,"20140410",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
126,"20140410",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
126,"20140410",103133,"Moderate Risk","Foods not protected from contamination"
126,"20141028",103133,"Moderate Risk","Foods not protected from contamination"
126,"20141028",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
126,"20141028",103103,"High Risk","High risk food holding temperature "
126,"20141028",103131,"Moderate Risk","Moderate risk vermin infestation"
126,"20141028",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
126,"20141028",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
126,"20141028",103151,"Low Risk","Inadequate or unsanitary refuse containers or area or no garbage service"
126,"20130716",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
126,"20130415",103133,"Moderate Risk","Foods not protected from contamination"
126,"20130415",103142,"Low Risk","Unclean nonfood contact surfaces"
126,"20130415",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
126,"20130415",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
126,"20130415",103139,"Low Risk","Improper food storage"
126,"20130415",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
126,"20130716",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
126,"20130415",103103,"High Risk","High risk food holding temperature "
126,"20130716",103120,"Moderate Risk","Moderate risk food holding temperature "
126,"20130716",103139,"Low Risk","Improper food storage"
126,"20130716",103142,"Low Risk","Unclean nonfood contact surfaces"
126,"20130716",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
126,"20151201",103131,"Moderate Risk","Moderate risk vermin infestation"
126,"20151201",103133,"Moderate Risk","Foods not protected from contamination"
126,"20151201",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
126,"20151201",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
126,"20151201",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
126,"20151201",103139,"Low Risk","Improper food storage"
126,"20151201",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
130,"20151117",103143,"Low Risk","Inadequate warewashing facilities or equipment"
130,"20151117",103161,"Low Risk","Low risk vermin infestation"
132,"20140625",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
132,"20140625",103120,"Moderate Risk","Moderate risk food holding temperature "
132,"20140625",103139,"Low Risk","Improper food storage"
132,"20140625",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
132,"20150225",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
132,"20150225",103153,"Low Risk","Inadequate dressing rooms or improper storage of personal items"
132,"20150225",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
132,"20150225",103142,"Low Risk","Unclean nonfood contact surfaces"
132,"20150225",103139,"Low Risk","Improper food storage"
132,"20150225",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
134,"20150806",103145,"Low Risk","Improper storage of equipment utensils or linens"
140,"20140709",103120,"Moderate Risk","Moderate risk food holding temperature "
140,"20131122",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
140,"20131122",103120,"Moderate Risk","Moderate risk food holding temperature "
140,"20131122",103107,"High Risk","Improper reheating of food"
140,"20131122",103103,"High Risk","High risk food holding temperature "
141,"20140409",103139,"Low Risk","Improper food storage"
141,"20130422",103120,"Moderate Risk","Moderate risk food holding temperature "
141,"20130422",103139,"Low Risk","Improper food storage"
146,"20140429",103161,"Low Risk","Low risk vermin infestation"
146,"20130529",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
146,"20131122",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
146,"20131122",103118,"Moderate Risk","Employee eating or smoking"
146,"20150723",103103,"High Risk","High risk food holding temperature "
146,"20150723",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
151,"20140312",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
151,"20140312",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
151,"20150520",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
151,"20150520",103103,"High Risk","High risk food holding temperature "
151,"20150520",103138,"Low Risk","Improper storage use or identification of toxic substances"
155,"20151229",103114,"High Risk","High risk vermin infestation"
155,"20140224",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
155,"20140224",103161,"Low Risk","Low risk vermin infestation"
155,"20140224",103157,"Low Risk","Food safety certificate or food handler card not available"
155,"20140623",103152,"Low Risk","Unclean unmaintained or improperly constructed toilet facilities"
155,"20140623",103150,"Low Risk","Improper or defective plumbing"
155,"20140623",103157,"Low Risk","Food safety certificate or food handler card not available"
155,"20130430",103152,"Low Risk","Unclean unmaintained or improperly constructed toilet facilities"
155,"20130430",103148,"Low Risk","No thermometers or uncalibrated thermometers "
155,"20130430",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
155,"20150610",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
155,"20150610",103157,"Low Risk","Food safety certificate or food handler card not available"
155,"20150610",103114,"High Risk","High risk vermin infestation"
164,"20130729",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
164,"20151106",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
164,"20151106",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
178,"20140204",103133,"Moderate Risk","Foods not protected from contamination"
178,"20140730",103157,"Low Risk","Food safety certificate or food handler card not available"
178,"20140730",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
178,"20140730",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
179,"20140522",103120,"Moderate Risk","Moderate risk food holding temperature "
179,"20140522",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
179,"20130828",103161,"Low Risk","Low risk vermin infestation"
179,"20130828",103129,"Moderate Risk","Insufficient hot water or running water"
179,"20130828",103120,"Moderate Risk","Moderate risk food holding temperature "
180,"20160106",103157,"Low Risk","Food safety certificate or food handler card not available"
180,"20141104",103114,"High Risk","High risk vermin infestation"
180,"20141104",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
180,"20131021",103114,"High Risk","High risk vermin infestation"
180,"20131021",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
180,"20160106",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
180,"20160106",103120,"Moderate Risk","Moderate risk food holding temperature "
180,"20160106",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
184,"20140923",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
184,"20140923",103139,"Low Risk","Improper food storage"
187,"20130905",103145,"Low Risk","Improper storage of equipment utensils or linens"
187,"20130905",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
187,"20130905",103139,"Low Risk","Improper food storage"
187,"20130905",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
190,"20140421",103156,"Low Risk","Permit license or inspection report not posted"
190,"20150327",103156,"Low Risk","Permit license or inspection report not posted"
190,"20150327",103150,"Low Risk","Improper or defective plumbing"
190,"20150327",103120,"Moderate Risk","Moderate risk food holding temperature "
192,"20140813",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
192,"20140813",103139,"Low Risk","Improper food storage"
192,"20140813",103120,"Moderate Risk","Moderate risk food holding temperature "
192,"20130419",103156,"Low Risk","Permit license or inspection report not posted"
192,"20130419",103147,"Low Risk","Inadequate ventilation or lighting"
194,"20140305",103165,"Low Risk","No plan review or Building Permit"
194,"20140307",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
194,"20140305",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
194,"20140307",103142,"Low Risk","Unclean nonfood contact surfaces"
194,"20140305",103120,"Moderate Risk","Moderate risk food holding temperature "
194,"20140305",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
194,"20150420",103102,"High Risk","Unclean hands or improper use of gloves"
194,"20150420",103120,"Moderate Risk","Moderate risk food holding temperature "
194,"20150420",103157,"Low Risk","Food safety certificate or food handler card not available"
194,"20150420",103108,"High Risk","Contaminated or adulterated food"
198,"20140505",103132,"Moderate Risk","Improper thawing methods "
198,"20150206",103157,"Low Risk","Food safety certificate or food handler card not available"
198,"20150206",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
198,"20130904",103120,"Moderate Risk","Moderate risk food holding temperature "
198,"20130904",103148,"Low Risk","No thermometers or uncalibrated thermometers "
198,"20130904",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
198,"20151029",103120,"Moderate Risk","Moderate risk food holding temperature "
198,"20151029",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
200,"20140317",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
200,"20140317",103139,"Low Risk","Improper food storage"
200,"20140317",103120,"Moderate Risk","Moderate risk food holding temperature "
200,"20150129",103131,"Moderate Risk","Moderate risk vermin infestation"
200,"20150129",103109,"High Risk","Unclean or unsanitary food contact surfaces"
200,"20150129",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
200,"20130710",103139,"Low Risk","Improper food storage"
200,"20130710",103133,"Moderate Risk","Foods not protected from contamination"
200,"20130710",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
200,"20130710",103104,"High Risk","Unauthorized or unsafe use of time as a public health control measure"
200,"20151001",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
200,"20151001",103120,"Moderate Risk","Moderate risk food holding temperature "
208,"20140313",103103,"High Risk","High risk food holding temperature "
208,"20140313",103161,"Low Risk","Low risk vermin infestation"
208,"20150212",103131,"Moderate Risk","Moderate risk vermin infestation"
208,"20150212",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
208,"20130605",103120,"Moderate Risk","Moderate risk food holding temperature "
208,"20130605",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
208,"20130605",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
208,"20151007",103120,"Moderate Risk","Moderate risk food holding temperature "
208,"20151007",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
208,"20151007",103161,"Low Risk","Low risk vermin infestation"
217,"20160329",103142,"Low Risk","Unclean nonfood contact surfaces"
217,"20160329",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
217,"20160329",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
217,"20140624",103143,"Low Risk","Inadequate warewashing facilities or equipment"
217,"20140624",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
217,"20150818",103145,"Low Risk","Improper storage of equipment utensils or linens"
217,"20150818",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
217,"20150818",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
221,"20140122",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
221,"20140122",103114,"High Risk","High risk vermin infestation"
221,"20130724",103114,"High Risk","High risk vermin infestation"
221,"20130724",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
226,"20140910",103103,"High Risk","High risk food holding temperature "
226,"20140910",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
226,"20140910",103156,"Low Risk","Permit license or inspection report not posted"
230,"20140205",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
230,"20140205",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
230,"20140205",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
230,"20140205",103118,"Moderate Risk","Employee eating or smoking"
230,"20140205",103156,"Low Risk","Permit license or inspection report not posted"
230,"20140205",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
230,"20150306",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
230,"20150306",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
230,"20150306",103150,"Low Risk","Improper or defective plumbing"
230,"20150306",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
230,"20150306",103129,"Moderate Risk","Insufficient hot water or running water"
230,"20150306",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
230,"20150306",103120,"Moderate Risk","Moderate risk food holding temperature "
231,"20160301",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
231,"20160301",103143,"Low Risk","Inadequate warewashing facilities or equipment"
231,"20160301",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
231,"20160301",103133,"Moderate Risk","Foods not protected from contamination"
231,"20160301",103139,"Low Risk","Improper food storage"
231,"20140204",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
231,"20140204",103139,"Low Risk","Improper food storage"
231,"20140204",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
231,"20140902",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
231,"20140902",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
231,"20140902",103138,"Low Risk","Improper storage use or identification of toxic substances"
231,"20130508",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
231,"20130508",103142,"Low Risk","Unclean nonfood contact surfaces"
231,"20130508",103139,"Low Risk","Improper food storage"
231,"20130508",103103,"High Risk","High risk food holding temperature "
234,"20140415",103105,"High Risk","Improper cooling methods"
234,"20140415",103120,"Moderate Risk","Moderate risk food holding temperature "
