"business_id","Score","date","type"
102,100,"20150609","Routine - Unscheduled"
102,,"20140514","Reinspection/Followup"
102,91,"20140507","Routine - Unscheduled"
102,,"20130918","Reinspection/Followup"
102,94,"20130829","Routine - Unscheduled"
108,94,"20150417","Routine - Unscheduled"
108,,"20131115","Reinspection/Followup"
108,80,"20131105","Routine - Unscheduled"
116,,"20150814","Non-inspection site visit"
116,96,"20140910","Routine - Unscheduled"
116,,"20130423","Reinspection/Followup"
116,90,"20130416","Routine - Unscheduled"
121,,"20151029","Reinspection/Followup"
121,86,"20151020","Routine - Unscheduled"
121,,"20140820","Reinspection/Followup"
121,90,"20140813","Routine - Unscheduled"
121,,"20140212","Reinspection/Followup"
121,87,"20140129","Routine - Unscheduled"
125,100,"20140915","Routine - Unscheduled"
125,96,"20130529","Routine - Unscheduled"
126,,"20151201","Complaint"
126,80,"20151201","Routine - Unscheduled"
126,,"20141103","Reinspection/Followup"
126,75,"20141028","Routine - Unscheduled"
126,70,"20140410","Routine - Unscheduled"
126,,"20130723","Reinspection/Followup"
126,82,"20130716","Routine - Unscheduled"
126,77,"20130415","Routine - Unscheduled"
130,96,"20151117","Routine - Unscheduled"
130,100,"20140930","Routine - Unscheduled"
130,,"20140212","Reinspection/Followup"
130,100,"20140212","Routine - Unscheduled"
132,86,"20150225","Routine - Unscheduled"
132,,"20140717","Reinspection/Followup"
132,88,"20140625","Routine - Unscheduled"
134,98,"20150806","Routine - Unscheduled"
140,96,"20140709","Routine - Unscheduled"
140,,"20131227","Non-inspection site visit"
140,,"20131206","Reinspection/Followup"
140,80,"20131122","Routine - Unscheduled"
141,100,"20141017","Routine - Unscheduled"
141,98,"20140409","Routine - Unscheduled"
141,100,"20131003","Routine - Unscheduled"
141,,"20130613","Reinspection/Followup"
141,94,"20130422","Routine - Unscheduled"
146,,"20150730","Reinspection/Followup"
146,91,"20150723","Routine - Unscheduled"
146,98,"20140429","Routine - Unscheduled"
146,,"20140416","Complaint"
146,94,"20131122","Routine - Unscheduled"
146,,"20130604","Reinspection/Followup"
146,98,"20130529","Routine - Unscheduled"
151,,"20150812","Complaint Reinspection/Followup"
151,,"20150701","Complaint Reinspection/Followup"
151,,"20150629","Complaint Reinspection/Followup"
151,87,"20150520","Routine - Unscheduled"
151,96,"20140312","Routine - Unscheduled"
155,100,"20151229","Routine - Unscheduled"
155,,"20150618","Reinspection/Followup"
155,87,"20150610","Routine - Unscheduled"
155,,"20140722","Reinspection/Followup"
155,94,"20140623","Routine - Unscheduled"
155,94,"20140224","Routine - Unscheduled"
155,94,"20130430","Routine - Unscheduled"
164,96,"20151106","Routine - Unscheduled"
164,100,"20141017","Routine - Unscheduled"
164,100,"20140403","Routine - Unscheduled"
164,96,"20130729","Routine - Unscheduled"
178,90,"20140730","Routine - Unscheduled"
178,96,"20140204","Routine - Unscheduled"
179,94,"20140522","Routine - Unscheduled"
179,90,"20130828","Routine - Unscheduled"
180,88,"20160106","Routine - Unscheduled"
180,91,"20141104","Routine - Unscheduled"
180,100,"20140520","Routine - Unscheduled"
180,,"20131021","Reinspection/Followup"
180,91,"20131021","Routine - Unscheduled"
184,96,"20140923","Routine - Unscheduled"
187,100,"20141023","Routine - Unscheduled"
187,100,"20140401","Routine - Unscheduled"
187,100,"20130905","Routine - Unscheduled"
190,92,"20150327","Routine - Unscheduled"
190,98,"20140421","Routine - Unscheduled"
190,98,"20130625","Routine - Unscheduled"
192,92,"20140813","Routine - Unscheduled"
192,,"20130501","Reinspection/Followup"
192,96,"20130419","Routine - Unscheduled"
194,,"20150429","Reinspection/Followup"
194,80,"20150420","Routine - Unscheduled"
194,90,"20140307","Routine - Unscheduled"
194,88,"20140305","Routine - Unscheduled"
198,92,"20151029","Routine - Unscheduled"
198,94,"20150206","Routine - Unscheduled"
198,96,"20140505","Routine - Unscheduled"
198,,"20130917","Reinspection/Followup"
198,90,"20130904","Routine - Unscheduled"
200,94,"20151001","Routine - Unscheduled"
200,,"20150220","Reinspection/Followup"
200,87,"20150129","Routine - Unscheduled"
200,92,"20140317","Routine - Unscheduled"
200,,"20130830","Reinspection/Followup"
200,85,"20130710","Routine - Unscheduled"
208,92,"20151007","Routine - Unscheduled"
208,,"20150928","Non-inspection site visit"
208,,"20150224","Reinspection/Followup"
208,94,"20150212","Routine - Unscheduled"
208,,"20140603","Complaint"
208,,"20140415","Reinspection/Followup"
208,91,"20140313","Routine - Unscheduled"
208,92,"20130605","Routine - Unscheduled"
216,100,"20150126","Routine - Unscheduled"
216,100,"20140626","Routine - Unscheduled"
216,100,"20131017","Routine - Unscheduled"
217,94,"20160329","Routine - Unscheduled"
217,94,"20150818","Routine - Unscheduled"
217,94,"20140624","Routine - Unscheduled"
217,,"20140311","Complaint"
217,100,"20131209","Routine - Unscheduled"
221,91,"20140122","Routine - Unscheduled"
221,,"20130801","Non-inspection site visit"
221,91,"20130724","Routine - Unscheduled"
226,,"20150430","Non-inspection site visit"
226,89,"20140910","Routine - Unscheduled"
230,,"20150910","Complaint"
230,,"20150812","Complaint"
230,,"20150310","Reinspection/Followup"
230,78,"20150306","Routine - Unscheduled"
230,,"20140213","Reinspection/Followup"
230,,"20140213","Reinspection/Followup"
230,,"20140205","Complaint"
230,80,"20140205","Routine - Unscheduled"
231,,"20160316","Reinspection/Followup"
231,88,"20160301","Routine - Unscheduled"
231,,"20140911","Reinspection/Followup"
231,92,"20140902","Routine - Unscheduled"
231,92,"20140204","Routine - Unscheduled"
231,,"20130607","Reinspection/Followup"
231,85,"20130508","Routine - Unscheduled"
234,,"20150513","Reinspection/Followup"
234,82,"20150505","Routine - Unscheduled"
234,,"20140617","Reinspection/Followup"
234,79,"20140415","Routine - Unscheduled"
234,,"20130515","Reinspection/Followup"
234,86,"20130506","Routine - Unscheduled"
236,94,"20151214","Routine - Unscheduled"
236,,"20150112","Reinspection/Followup"
236,88,"20141118","Routine - Unscheduled"
236,96,"20130522","Routine - Unscheduled"
239,90,"20140507","Routine - Unscheduled"
239,,"20130919","Reinspection/Followup"
239,77,"20130917","Routine - Unscheduled"
240,,"20150828","Reinspection/Followup"
240,68,"20150813","Routine - Unscheduled"
240,,"20140822","Reinspection/Followup"
240,79,"20140724","Routine - Unscheduled"
240,79,"20140206","Routine - Unscheduled"
240,81,"20130523","Routine - Unscheduled"
247,,"20140918","Reinspection/Followup"
247,83,"20140909","Routine - Unscheduled"
247,94,"20140304","Routine - Unscheduled"
251,96,"20140612","Routine - Unscheduled"
251,92,"20131113","Routine - Unscheduled"
253,98,"20150217","Routine - Unscheduled"
253,100,"20140505","Routine - Unscheduled"
253,,"20140312","Non-inspection site visit"
253,98,"20131101","Routine - Unscheduled"
253,98,"20130501","Routine - Unscheduled"
256,100,"20150908","Routine - Unscheduled"
256,,"20150217","Non-inspection site visit"
256,98,"20140303","Routine - Unscheduled"
258,98,"20150528","Routine - Unscheduled"
258,94,"20141003","Routine - Unscheduled"
258,96,"20140407","Routine - Unscheduled"
258,94,"20131017","Routine - Unscheduled"
260,92,"20160219","Routine - Unscheduled"
260,92,"20141209","Routine - Unscheduled"
260,,"20140821","Non-inspection site visit"
260,,"20140808","Non-inspection site visit"
260,,"20140529","Reinspection/Followup"
260,,"20140520","Complaint"
260,86,"20140520","Routine - Unscheduled"
260,92,"20131119","Routine - Unscheduled"
260,87,"20130627","Routine - Unscheduled"
267,,"20150804","Reinspection/Followup"
267,69,"20150730","Routine - Unscheduled"
267,93,"20140528","Routine - Unscheduled"
267,,"20130808","Reinspection/Followup"
267,,"20130801","Reinspection/Followup"
267,77,"20130731","Routine - Unscheduled"
268,94,"20150903","Routine - Unscheduled"
268,,"20150903","Complaint"
268,96,"20140829","Routine - Unscheduled"
268,98,"20140224","Routine - Unscheduled"
268,96,"20130805","Routine - Unscheduled"
272,72,"20141203","Routine - Unscheduled"
272,86,"20140422","Routine - Unscheduled"
272,94,"20131106","Routine - Unscheduled"
272,87,"20130514","Routine - Unscheduled"
273,,"20150526","Reinspection/Followup"
273,80,"20150519","Routine - Unscheduled"
273,,"20140910","Reinspection/Followup"
273,71,"20140813","Routine - Unscheduled"
273,,"20131212","Reinspection/Followup"
273,85,"20131118","Routine - Unscheduled"
275,,"20151029","Reinspection/Followup"
275,96,"20151020","Routine - Unscheduled"
275,,"20141017","Reinspection/Followup"
275,94,"20141006","Routine - Unscheduled"
275,96,"20140328","Routine - Unscheduled"
275,94,"20130712","Routine - Unscheduled"
275,87,"20130424","Routine - Unscheduled"
276,100,"20151103","Routine - Unscheduled"
276,,"20150611","Non-inspection site visit"
276,98,"20140806","Routine - Unscheduled"
276,100,"20131216","Routine - Unscheduled"
276,100,"20130524","Routine - Unscheduled"
279,94,"20151020","Routine - Unscheduled"
279,100,"20140909","Routine - Unscheduled"
279,98,"20140107","Routine - Unscheduled"
279,96,"20130716","Routine - Unscheduled"
281,96,"20140905","Routine - Unscheduled"
281,93,"20130930","Routine - Unscheduled"
283,73,"20151001","Routine - Unscheduled"
286,,"20140428","Complaint"
286,90,"20140327","Routine - Unscheduled"
286,,"20140313","Reinspection/Followup"
286,,"20140312","New Construction"
286,,"20140312","Reinspection/Followup"
286,,"20140108","New Construction"
286,,"20130809","Non-inspection site visit"
286,,"20130801","Non-inspection site visit"
286,,"20130801","Non-inspection site visit"
286,,"20130731","Reinspection/Followup"
286,,"20130726","Reinspection/Followup"
286,49,"20130725","Routine - Unscheduled"
290,,"20141219","Reinspection/Followup"
290,80,"20141210","Routine - Unscheduled"
290,96,"20140409","Routine - Unscheduled"
290,,"20131104","Reinspection/Followup"
290,87,"20130930","Routine - Unscheduled"
298,80,"20150828","Routine - Unscheduled"
298,,"20150828","Complaint"
298,,"20150828","Reinspection/Followup"
298,,"20141125","New Construction"
298,,"20141124","New Construction"
298,,"20141114","New Construction"
298,94,"20140919","Routine - Unscheduled"
298,96,"20140121","Routine - Unscheduled"
298,94,"20130516","Routine - Unscheduled"
299,96,"20150309","Routine - Unscheduled"
299,92,"20140306","Routine - Unscheduled"
299,,"20130917","Reinspection/Followup"
299,86,"20130724","Routine - Unscheduled"
300,,"20151122","New Construction"
300,96,"20141126","Routine - Unscheduled"
300,,"20140630","Complaint"
300,96,"20140507","Routine - Unscheduled"
300,,"20130926","Reinspection/Followup"
300,,"20130903","Reinspection/Followup"
300,96,"20130823","Routine - Unscheduled"
302,,"20150422","Reinspection/Followup"
302,,"20150420","Reinspection/Followup"
302,,"20150420","Reinspection/Followup"
302,,"20150417","Reinspection/Followup"
302,69,"20150408","Routine - Unscheduled"
302,94,"20140304","Routine - Unscheduled"
302,,"20140224","Reinspection/Followup"
305,,"20141205","Reinspection/Followup"
305,85,"20141204","Routine - Unscheduled"
305,,"20141204","Reinspection/Followup"
305,88,"20140321","Routine - Unscheduled"
305,,"20131104","Reinspection/Followup"
305,96,"20130916","Routine - Unscheduled"
315,94,"20150929","Routine - Unscheduled"
315,,"20150519","Reinspection/Followup"
315,89,"20150518","Routine - Unscheduled"
315,,"20140514","Complaint"
315,,"20140324","Reinspection/Followup"
315,88,"20140310","Routine - Unscheduled"
315,,"20130906","Reinspection/Followup"
315,,"20130820","Reinspection/Followup"
315,90,"20130812","Routine - Unscheduled"
318,94,"20151113","Routine - Unscheduled"
318,94,"20141107","Routine - Unscheduled"
318,94,"20140205","Routine - Unscheduled"
318,94,"20130729","Routine - Unscheduled"
320,84,"20150429","Routine - Unscheduled"
320,85,"20140611","Routine - Unscheduled"
320,85,"20131209","Routine - Unscheduled"
320,86,"20130715","Routine - Unscheduled"
323,100,"20160112","Routine - Unscheduled"
323,100,"20140114","Routine - Unscheduled"
323,98,"20130709","Routine - Unscheduled"
325,,"20150105","Reinspection/Followup"
325,,"20141203","Reinspection/Followup"
325,67,"20141202","Routine - Unscheduled"
325,92,"20140306","Routine - Unscheduled"
325,92,"20131001","Routine - Unscheduled"
325,88,"20130710","Routine - Unscheduled"
325,,"20130502","Non-inspection site visit"
326,88,"20140522","Routine - Unscheduled"
326,,"20140318","Reinspection/Followup"
326,79,"20131203","Routine - Unscheduled"
328,,"20160309","Reinspection/Followup"
328,,"20160308","Reinspection/Followup"
328,,"20160305","Reinspection/Followup"
328,,"20160305","Reinspection/Followup"
328,90,"20160105","Routine - Unscheduled"
328,94,"20140305","Routine - Unscheduled"
328,92,"20131010","Routine - Unscheduled"
328,90,"20130422","Routine - Unscheduled"
335,79,"20160217","Routine - Unscheduled"
335,,"20160217","Reinspection/Followup"
335,76,"20150401","Routine - Unscheduled"
335,,"20140507","Reinspection/Followup"
335,79,"20140306","Routine - Unscheduled"
335,,"20130703","Reinspection/Followup"
335,,"20130625","Reinspection/Followup"
335,,"20130625","Non-inspection site visit"
335,,"20130619","Reinspection/Followup"
335,66,"20130617","Routine - Unscheduled"
337,94,"20140402","Routine - Unscheduled"
337,,"20140325","Non-inspection site visit"
337,78,"20130624","Routine - Unscheduled"
379,100,"20141202","Routine - Unscheduled"
379,,"20140324","Complaint"
379,89,"20140317","Routine - Unscheduled"
379,,"20131204","Reinspection/Followup"
379,80,"20131118","Routine - Unscheduled"
383,100,"20150223","Routine - Unscheduled"
383,88,"20140822","Routine - Unscheduled"
383,,"20130930","Reinspection/Followup"
383,92,"20130919","Routine - Unscheduled"
384,88,"20140506","Routine - Unscheduled"
384,94,"20130722","Routine - Unscheduled"
385,,"20150413","Non-inspection site visit"
385,90,"20150410","Routine - Unscheduled"
385,,"20150130","Complaint"
385,,"20150130","Complaint"
385,,"20150129","Complaint"
385,,"20150113","Complaint"
385,,"20150108","Complaint"
385,,"20150105","Complaint"
385,90,"20140306","Routine - Unscheduled"
385,,"20130807","Complaint Reinspection/Followup"
385,,"20130730","Complaint"
385,100,"20130415","Routine - Unscheduled"
386,90,"20160127","Routine - Unscheduled"
386,83,"20141024","Routine - Unscheduled"
386,90,"20140424","Routine - Unscheduled"
386,,"20130903","Reinspection/Followup"
386,83,"20130827","Routine - Unscheduled"
389,100,"20141217","Routine - Unscheduled"
389,100,"20131011","Routine - Unscheduled"
393,90,"20150707","Routine - Unscheduled"
393,,"20140912","Complaint Reinspection/Followup"
393,,"20140818","Complaint"
393,,"20140807","Complaint"
393,94,"20140625","Routine - Unscheduled"
393,94,"20131223","Routine - Unscheduled"
393,96,"20130429","Routine - Unscheduled"
394,100,"20140625","Routine - Unscheduled"
394,100,"20140124","Routine - Unscheduled"
394,100,"20130509","Routine - Unscheduled"
395,100,"20140625","Routine - Unscheduled"
395,98,"20140123","Routine - Unscheduled"
395,100,"20130509","Routine - Unscheduled"
397,,"20150115","New Construction"
397,,"20150113","New Construction"
397,96,"20140624","Routine - Unscheduled"
397,100,"20140124","Routine - Unscheduled"
397,100,"20130509","Routine - Unscheduled"
400,94,"20140613","Routine - Unscheduled"
400,100,"20130801","Routine - Unscheduled"
403,81,"20150723","Routine - Unscheduled"
403,85,"20140530","Routine - Unscheduled"
403,94,"20131127","Routine - Unscheduled"
403,91,"20130528","Routine - Unscheduled"
409,98,"20150414","Routine - Unscheduled"
409,100,"20130614","Routine - Unscheduled"
409,,"20130614","Complaint"
413,87,"20140627","Routine - Unscheduled"
413,84,"20130917","Routine - Unscheduled"
415,,"20150924","Reinspection/Followup"
415,87,"20150903","Routine - Unscheduled"
415,,"20140805","Reinspection/Followup"
415,87,"20140729","Routine - Unscheduled"
415,83,"20140124","Routine - Unscheduled"
415,,"20130709","Reinspection/Followup"
415,,"20130702","Reinspection/Followup"
415,,"20130628","Reinspection/Followup"
415,82,"20130514","Routine - Unscheduled"
415,,"20130514","Complaint"
420,,"20150324","Reinspection/Followup"
420,,"20150109","Reinspection/Followup"
420,72,"20150108","Routine - Unscheduled"
420,,"20140527","Reinspection/Followup"
420,86,"20140520","Routine - Unscheduled"
421,,"20141103","Reinspection/Followup"
421,79,"20141021","Routine - Unscheduled"
421,94,"20130510","Routine - Unscheduled"
422,,"20151001","Reinspection/Followup"
422,92,"20150918","Routine - Unscheduled"
422,86,"20140626","Routine - Unscheduled"
422,75,"20131119","Routine - Unscheduled"
423,85,"20141209","Routine - Unscheduled"
423,,"20141209","Foodborne Illness Investigation"
423,,"20140908","Non-inspection site visit"
423,,"20140725","Reinspection/Followup"
423,88,"20140716","Routine - Unscheduled"
423,,"20131011","Reinspection/Followup"
423,77,"20131001","Routine - Unscheduled"
423,,"20130708","Reinspection/Followup"
423,96,"20130628","Routine - Unscheduled"
423,,"20130628","Reinspection/Followup"
424,,"20150828","Complaint"
424,,"20150603","Reinspection/Followup"
424,81,"20150505","Routine - Unscheduled"
424,94,"20140410","Routine - Unscheduled"
424,,"20130927","Reinspection/Followup"
424,,"20130918","Reinspection/Followup"
424,,"20130830","Reinspection/Followup"
424,94,"20130821","Routine - Unscheduled"
428,100,"20150427","Routine - Unscheduled"
428,100,"20140826","Routine - Unscheduled"
428,,"20140314","Reinspection/Followup"
428,100,"20140306","Routine - Unscheduled"
429,,"20150324","Reinspection/Followup"
429,,"20150226","Reinspection/Followup"
429,82,"20150223","Routine - Unscheduled"
429,92,"20140521","Routine - Unscheduled"
430,86,"20150114","Routine - Unscheduled"
430,91,"20140522","Routine - Unscheduled"
431,,"20150112","Reinspection/Followup"
431,91,"20141119","Routine - Unscheduled"
431,98,"20131029","Routine - Unscheduled"
435,92,"20151028","Routine - Unscheduled"
435,96,"20140827","Routine - Unscheduled"
435,94,"20140108","Routine - Unscheduled"
435,94,"20130415","Routine - Unscheduled"
436,,"20141117","Reinspection/Followup"
436,,"20141103","Reinspection/Followup"
436,81,"20141021","Routine - Unscheduled"
436,87,"20130925","Routine - Unscheduled"
436,,"20130619","Complaint"
438,90,"20160321","Routine - Unscheduled"
438,,"20160304","New Construction"
438,,"20160203","New Construction"
438,89,"20150421","Routine - Unscheduled"
438,88,"20140402","Routine - Unscheduled"
438,88,"20130710","Routine - Unscheduled"
442,,"20160316","Reinspection/Followup"
442,86,"20160308","Routine - Unscheduled"
442,,"20141029","Reinspection/Followup"
442,83,"20141022","Routine - Unscheduled"
442,92,"20140313","Routine - Unscheduled"
442,,"20130716","Reinspection/Followup"
442,78,"20130508","Routine - Unscheduled"
443,92,"20160316","Routine - Unscheduled"
443,,"20141002","Complaint"
443,,"20140924","Reinspection/Followup"
443,89,"20140915","Routine - Unscheduled"
443,90,"20140210","Routine - Unscheduled"
443,,"20130605","Reinspection/Followup"
443,75,"20130510","Routine - Unscheduled"
447,,"20150803","Reinspection/Followup"
447,87,"20150723","Routine - Unscheduled"
447,,"20140605","Reinspection/Followup"
447,85,"20140604","Routine - Unscheduled"
447,94,"20131023","Routine - Unscheduled"
448,,"20151028","Reinspection/Followup"
448,84,"20151021","Routine - Unscheduled"
448,,"20140825","Reinspection/Followup"
448,85,"20140818","Routine - Unscheduled"
448,84,"20140108","Routine - Unscheduled"
462,98,"20140915","Routine - Unscheduled"
462,100,"20130529","Routine - Unscheduled"
463,,"20150226","Reinspection/Followup"
463,85,"20150217","Routine - Unscheduled"
463,,"20150217","Complaint"
463,88,"20140627","Routine - Unscheduled"
463,92,"20131218","Routine - Unscheduled"
468,,"20141112","Reinspection/Followup"
468,82,"20141107","Routine - Unscheduled"
468,,"20140516","Reinspection/Followup"
468,84,"20140506","Routine - Unscheduled"
469,,"20140508","Reinspection/Followup"
469,71,"20140507","Routine - Unscheduled"
470,94,"20150219","Routine - Unscheduled"
470,94,"20140204","Routine - Unscheduled"
470,89,"20130416","Routine - Unscheduled"
473,,"20150729","Reinspection/Followup"
473,87,"20150720","Routine - Unscheduled"
473,,"20150720","Complaint"
473,,"20150304","Complaint"
473,,"20150220","Complaint"
473,,"20140911","Reinspection/Followup"
473,92,"20140827","Routine - Unscheduled"
473,,"20140319","Complaint"
473,,"20140210","Reinspection/Followup"
473,82,"20140204","Routine - Unscheduled"
473,92,"20130607","Routine - Unscheduled"
475,,"20151014","Reinspection/Followup"
475,90,"20151006","Routine - Unscheduled"
475,,"20140818","Reinspection/Followup"
475,94,"20140811","Routine - Unscheduled"
475,92,"20140205","Routine - Unscheduled"
475,,"20131101","Reinspection/Followup"
475,,"20131101","Non-inspection site visit"
477,,"20150309","Reinspection/Followup"
477,88,"20150302","Routine - Unscheduled"
477,,"20140605","Reinspection/Followup"
477,83,"20140604","Routine - Unscheduled"
477,87,"20131120","Routine - Unscheduled"
479,,"20141103","Reinspection/Followup"
479,,"20141021","Reinspection/Followup"
479,82,"20141003","Routine - Unscheduled"
479,,"20141003","Reinspection/Followup"
480,,"20151216","Complaint"
480,,"20151027","Complaint"
480,,"20140814","Reinspection/Followup"
480,,"20140811","Reinspection/Followup"
480,72,"20140806","Routine - Unscheduled"
483,,"20140919","Reinspection/Followup"
483,75,"20140916","Routine - Unscheduled"
484,,"20140829","Reinspection/Followup"
484,86,"20140822","Routine - Unscheduled"
485,98,"20150923","Routine - Unscheduled"
485,90,"20140911","Routine - Unscheduled"
485,90,"20140205","Routine - Unscheduled"
485,92,"20130415","Routine - Unscheduled"
486,90,"20150213","Routine - Unscheduled"
486,,"20150108","Non-inspection site visit"
488,,"20140923","Reinspection/Followup"
488,81,"20140916","Routine - Unscheduled"
488,90,"20130521","Routine - Unscheduled"
489,,"20160328","Reinspection/Followup"
489,,"20160321","Reinspection/Followup"
489,,"20160316","Reinspection/Followup"
489,,"20160314","Reinspection/Followup"
489,,"20160309","Reinspection/Followup"
489,69,"20160308","Routine - Unscheduled"
489,,"20150814","Reinspection/Followup"
489,,"20150807","Reinspection/Followup"
489,72,"20150728","Routine - Unscheduled"
489,,"20150202","Reinspection/Followup"
489,,"20150112","Complaint"
489,77,"20150112","Routine - Unscheduled"
489,83,"20140617","Routine - Unscheduled"
489,,"20131029","Reinspection/Followup"
489,,"20131007","Reinspection/Followup"
489,,"20130930","Reinspection/Followup"
489,,"20130926","Reinspection/Followup"
489,77,"20130923","Routine - Unscheduled"
494,,"20141120","Reinspection/Followup"
494,,"20141119","Reinspection/Followup"
494,,"20141119","Reinspection/Followup"
494,67,"20141118","Routine - Unscheduled"
494,,"20141118","Reinspection/Followup"
496,,"20150127","Reinspection/Followup"
496,90,"20150107","Routine - Unscheduled"
496,,"20140716","Complaint Reinspection/Followup"
496,84,"20140508","Routine - Unscheduled"
500,,"20151008","Reinspection/Followup"
500,86,"20150930","Routine - Unscheduled"
500,,"20140820","Reinspection/Followup"
500,81,"20140811","Routine - Unscheduled"
500,77,"20140327","Routine - Unscheduled"
500,,"20130916","Reinspection/Followup"
500,88,"20130820","Routine - Unscheduled"
502,100,"20150327","Routine - Unscheduled"
502,92,"20140421","Routine - Unscheduled"
502,100,"20130625","Routine - Unscheduled"
503,89,"20141029","Routine - Unscheduled"
503,,"20140319","Reinspection/Followup"
503,90,"20140210","Routine - Unscheduled"
503,,"20130723","Reinspection/Followup"
503,83,"20130716","Routine - Unscheduled"
505,96,"20150623","Routine - Unscheduled"
505,,"20150622","Non-inspection site visit"
505,,"20150320","Complaint Reinspection/Followup"
505,,"20150302","Complaint"
505,,"20141104","Reinspection/Followup"
505,78,"20141024","Routine - Unscheduled"
505,,"20141024","Reinspection/Followup"
505,94,"20140604","Routine - Unscheduled"
505,100,"20131112","Routine - Unscheduled"
