LGHC Indicator Name,Geography,Year,Age Group,Strata,Strata Name,Numerator,Rate,LGHC Indicator ID,LGHC Target Rate
Asthma ED Visit Rates,Solano,2013,18 and Over,Total Population,18 and Over,2181,68.3,7,28
Asthma ED Visit Rates,Sonoma,2013,18 and Over,Total Population,18 and Over,1414,36.9,7,28
Asthma ED Visit Rates,Stanislaus,2013,18 and Over,Total Population,18 and Over,1961,50.7,7,28
Asthma ED Visit Rates,Sutter,2013,18 and Over,Total Population,18 and Over,208,29.1,7,28
Asthma ED Visit Rates,Tehama,2013,18 and Over,Total Population,18 and Over,219,48.7,7,28
Asthma ED Visit Rates,Trinity,2013,18 and Over,Total Population,18 and Over,38,41.9,7,28
Asthma ED Visit Rates,Tulare,2013,18 and Over,Total Population,18 and Over,1272,39.6,7,28
Asthma ED Visit Rates,Tuolumne,2013,18 and Over,Total Population,18 and Over,206,49.7,7,28
Asthma ED Visit Rates,Ventura,2013,18 and Over,Total Population,18 and Over,1702,26.9,7,28
Asthma ED Visit Rates,Yolo,2013,18 and Over,Total Population,18 and Over,505,31.8,7,28
Asthma ED Visit Rates,Yuba,2013,18 and Over,Total Population,18 and Over,241,44.8,7,28
Asthma ED Visit Rates,Alameda,2013,18 and Over,Race-Ethnicity,African-American,3150,213.2,7,28
Asthma ED Visit Rates,Butte,2013,18 and Over,Race-Ethnicity,African-American,41,151.5,7,28
Asthma ED Visit Rates,California,2013,18 and Over,Race-Ethnicity,African-American,24473,140.5,7,28
Asthma ED Visit Rates,Contra Costa,2013,18 and Over,Race-Ethnicity,African-American,1429,198.2,7,28
Asthma ED Visit Rates,Fresno,2013,18 and Over,Race-Ethnicity,African-American,313,90.6,7,28
Asthma ED Visit Rates,Glenn,2013,18 and Over,Race-Ethnicity,African-American,6,,7,28
Asthma ED Visit Rates,Humboldt,2013,18 and Over,Race-Ethnicity,African-American,43,324.5,7,28
Asthma ED Visit Rates,Imperial,2013,18 and Over,Race-Ethnicity,African-American,24,48.7,7,28
Asthma ED Visit Rates,Kern,2013,18 and Over,Race-Ethnicity,African-American,527,146,7,28
Asthma ED Visit Rates,Kings,2013,18 and Over,Race-Ethnicity,African-American,104,99.4,7,28
Asthma ED Visit Rates,Lake,2013,18 and Over,Race-Ethnicity,African-American,23,235.4,7,28
Asthma ED Visit Rates,Los Angeles,2013,18 and Over,Race-Ethnicity,African-American,8086,128.9,7,28
Asthma ED Visit Rates,Madera,2013,18 and Over,Race-Ethnicity,African-American,34,70.5,7,28
Asthma ED Visit Rates,Marin,2013,18 and Over,Race-Ethnicity,African-American,67,106.8,7,28
Asthma ED Visit Rates,Merced,2013,18 and Over,Race-Ethnicity,African-American,249,395.4,7,28
Asthma ED Visit Rates,Monterey,2013,18 and Over,Race-Ethnicity,African-American,90,107.7,7,28
Asthma ED Visit Rates,Napa,2013,18 and Over,Race-Ethnicity,African-American,16,87.2,7,28
Asthma ED Visit Rates,Nevada,2013,18 and Over,Race-Ethnicity,African-American,14,381.6,7,28
Asthma ED Visit Rates,Orange,2013,18 and Over,Race-Ethnicity,African-American,416,98.8,7,28
Asthma ED Visit Rates,Placer,2013,18 and Over,Race-Ethnicity,African-American,30,78,7,28
Asthma ED Visit Rates,Riverside,2013,18 and Over,Race-Ethnicity,African-American,1108,100.3,7,28
Asthma ED Visit Rates,Sacramento,2013,18 and Over,Race-Ethnicity,African-American,2080,185.4,7,28
Asthma ED Visit Rates,San Bernardino,2013,18 and Over,Race-Ethnicity,African-American,1859,130.7,7,28
Asthma ED Visit Rates,San Diego,2013,18 and Over,Race-Ethnicity,African-American,1290,108.6,7,28
Asthma ED Visit Rates,San Francisco,2013,18 and Over,Race-Ethnicity,African-American,702,191.3,7,28
Asthma ED Visit Rates,San Joaquin,2013,18 and Over,Race-Ethnicity,African-American,708,182.8,7,28
Asthma ED Visit Rates,San Luis Obispo,2013,18 and Over,Race-Ethnicity,African-American,24,48.4,7,28
Asthma ED Visit Rates,San Mateo,2013,18 and Over,Race-Ethnicity,African-American,123,72.6,7,28
Asthma ED Visit Rates,Santa Barbara,2013,18 and Over,Race-Ethnicity,African-American,62,96.9,7,28
Asthma ED Visit Rates,Santa Clara,2013,18 and Over,Race-Ethnicity,African-American,394,99.5,7,28
Asthma ED Visit Rates,Santa Cruz,2013,18 and Over,Race-Ethnicity,African-American,30,145.8,7,28
Asthma ED Visit Rates,Shasta,2013,18 and Over,Race-Ethnicity,African-American,16,143.4,7,28
Asthma ED Visit Rates,Solano,2013,18 and Over,Race-Ethnicity,African-American,764,169.3,7,28
Asthma ED Visit Rates,Sonoma,2013,18 and Over,Race-Ethnicity,African-American,73,110,7,28
Asthma ED Visit Rates,Stanislaus,2013,18 and Over,Race-Ethnicity,African-American,236,244.2,7,28
Asthma ED Visit Rates,Sutter,2013,18 and Over,Race-Ethnicity,African-American,21,147.8,7,28
Asthma ED Visit Rates,Tulare,2013,18 and Over,Race-Ethnicity,African-American,68,172,7,28
Asthma ED Visit Rates,Ventura,2013,18 and Over,Race-Ethnicity,African-American,101,95.4,7,28
Asthma ED Visit Rates,Yolo,2013,18 and Over,Race-Ethnicity,African-American,40,92,7,28
Asthma ED Visit Rates,Yuba,2013,18 and Over,Race-Ethnicity,African-American,28,164.5,7,28
Asthma ED Visit Rates,Alameda,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,21,70.7,7,28
Asthma ED Visit Rates,Butte,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,6,,7,28
Asthma ED Visit Rates,California,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,389,30,7,28
Asthma ED Visit Rates,Contra Costa,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,9,,7,28
Asthma ED Visit Rates,Fresno,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,6,,7,28
Asthma ED Visit Rates,Humboldt,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,34,71.6,7,28
Asthma ED Visit Rates,Inyo,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,10,,7,28
Asthma ED Visit Rates,Lake,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,9,,7,28
Asthma ED Visit Rates,Los Angeles,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,51,30.7,7,28
Asthma ED Visit Rates,Mendocino,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,24,99.8,7,28
Asthma ED Visit Rates,Orange,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,9,,7,28
Asthma ED Visit Rates,Riverside,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,11,,7,28
Asthma ED Visit Rates,Sacramento,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,24,33.7,7,28
Asthma ED Visit Rates,San Bernardino,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,20,29.2,7,28
Asthma ED Visit Rates,Fresno,2013,18 and Over,Sex,Female,2217,64.9,7,28
Asthma ED Visit Rates,San Diego,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,23,21.9,7,28
Asthma ED Visit Rates,San Francisco,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,11,,7,28
Asthma ED Visit Rates,San Joaquin,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,12,50.1,7,28
Asthma ED Visit Rates,Santa Clara,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,5,,7,28
Asthma ED Visit Rates,Siskiyou,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,5,,7,28
Asthma ED Visit Rates,Solano,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,11,,7,28
Asthma ED Visit Rates,Sonoma,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,20,68.8,7,28
Asthma ED Visit Rates,Tulare,2013,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,9,,7,28
Asthma ED Visit Rates,Alameda,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,562,16.8,7,28
Asthma ED Visit Rates,Butte,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,,18.5,7,28
Asthma ED Visit Rates,California,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,5841,14.2,7,28
Asthma ED Visit Rates,Contra Costa,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,278,21.9,7,28
Asthma ED Visit Rates,Fresno,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,81,15.1,7,28
Asthma ED Visit Rates,Kern,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,37,15.1,7,28
Asthma ED Visit Rates,Los Angeles,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,1460,12.3,7,28
Asthma ED Visit Rates,Madera,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,6,,7,28
Asthma ED Visit Rates,Marin,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,19,14.7,7,28
Asthma ED Visit Rates,Merced,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,35,31.5,7,28
Asthma ED Visit Rates,Monterey,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,39,16.1,7,28
Asthma ED Visit Rates,Napa,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,19,25.3,7,28
Asthma ED Visit Rates,Orange,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,478,10.5,7,28
Asthma ED Visit Rates,Placer,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,25,11.9,7,28
Asthma ED Visit Rates,Riverside,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,93,8.7,7,28
Asthma ED Visit Rates,Sacramento,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,384,23.4,7,28
Asthma ED Visit Rates,San Bernardino,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,116,12.1,7,28
Asthma ED Visit Rates,San Diego,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,469,16.8,7,28
Asthma ED Visit Rates,San Francisco,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,345,12.7,7,28
Asthma ED Visit Rates,San Joaquin,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,217,29,7,28
Asthma ED Visit Rates,San Mateo,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,265,16.9,7,28
Asthma ED Visit Rates,Santa Barbara,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,19,10.9,7,28
Asthma ED Visit Rates,Santa Clara,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,451,10.3,7,28
Asthma ED Visit Rates,Santa Cruz,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,15,19.1,7,28
Asthma ED Visit Rates,Solano,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,190,36.1,7,28
Asthma ED Visit Rates,Sonoma,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,28,18.4,7,28
Asthma ED Visit Rates,Stanislaus,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,43,20.5,7,28
Asthma ED Visit Rates,Sutter,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,24,22.1,7,28
Asthma ED Visit Rates,Tulare,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,21,17.8,7,28
Asthma ED Visit Rates,Ventura,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,41,8.9,7,28
Asthma ED Visit Rates,Yolo,2013,18 and Over,Race-Ethnicity,Asian/Pacific Islander,15,8,7,28
Asthma ED Visit Rates,Alameda,2013,18 and Over,Race-Ethnicity,Hispanic,969,39.5,7,28
Asthma ED Visit Rates,Butte,2013,18 and Over,Race-Ethnicity,Hispanic,72,31.5,7,28
Asthma ED Visit Rates,California,2013,18 and Over,Race-Ethnicity,Hispanic,34320,34.7,7,28
Asthma ED Visit Rates,Colusa,2013,18 and Over,Race-Ethnicity,Hispanic,7,,7,28
Asthma ED Visit Rates,Contra Costa,2013,18 and Over,Race-Ethnicity,Hispanic,994,56.5,7,28
Asthma ED Visit Rates,Del Norte,2013,18 and Over,Race-Ethnicity,Hispanic,9,,7,28
Asthma ED Visit Rates,El Dorado,2013,18 and Over,Race-Ethnicity,Hispanic,39,24.6,7,28
Asthma ED Visit Rates,Fresno,2013,18 and Over,Race-Ethnicity,Hispanic,1532,48.9,7,28
Asthma ED Visit Rates,Glenn,2013,18 and Over,Race-Ethnicity,Hispanic,21,22.6,7,28
Asthma ED Visit Rates,Humboldt,2013,18 and Over,Race-Ethnicity,Hispanic,31,33.4,7,28
Asthma ED Visit Rates,Imperial,2013,18 and Over,Race-Ethnicity,Hispanic,384,37.6,7,28
Asthma ED Visit Rates,Kern,2013,18 and Over,Race-Ethnicity,Hispanic,989,35.7,7,28
Asthma ED Visit Rates,Kings,2013,18 and Over,Race-Ethnicity,Hispanic,290,64.4,7,28
Asthma ED Visit Rates,Lake,2013,18 and Over,Race-Ethnicity,Hispanic,45,70.1,7,28
Asthma ED Visit Rates,Los Angeles,2013,18 and Over,Race-Ethnicity,Hispanic,11900,35.4,7,28
Asthma ED Visit Rates,Madera,2013,18 and Over,Race-Ethnicity,Hispanic,152,27.1,7,28
Asthma ED Visit Rates,Marin,2013,18 and Over,Race-Ethnicity,Hispanic,71,22.5,7,28
Asthma ED Visit Rates,Mendocino,2013,18 and Over,Race-Ethnicity,Hispanic,45,28.9,7,28
Asthma ED Visit Rates,Merced,2013,18 and Over,Race-Ethnicity,Hispanic,518,56.5,7,28
Asthma ED Visit Rates,Mono,2013,18 and Over,Race-Ethnicity,Hispanic,6,,7,28
Asthma ED Visit Rates,Monterey,2013,18 and Over,Race-Ethnicity,Hispanic,550,33.3,7,28
Asthma ED Visit Rates,Napa,2013,18 and Over,Race-Ethnicity,Hispanic,96,34.9,7,28
Asthma ED Visit Rates,Nevada,2013,18 and Over,Race-Ethnicity,Hispanic,7,,7,28
Asthma ED Visit Rates,Orange,2013,18 and Over,Race-Ethnicity,Hispanic,1594,22.4,7,28
Asthma ED Visit Rates,Placer,2013,18 and Over,Race-Ethnicity,Hispanic,78,22.1,7,28
Asthma ED Visit Rates,Riverside,2013,18 and Over,Race-Ethnicity,Hispanic,1870,26.9,7,28
Asthma ED Visit Rates,Sacramento,2013,18 and Over,Race-Ethnicity,Hispanic,1131,53.3,7,28
Asthma ED Visit Rates,San Benito,2013,18 and Over,Race-Ethnicity,Hispanic,113,52.2,7,28
Asthma ED Visit Rates,San Bernardino,2013,18 and Over,Race-Ethnicity,Hispanic,2510,36.4,7,28
Asthma ED Visit Rates,San Diego,2013,18 and Over,Race-Ethnicity,Hispanic,1753,24.4,7,28
Asthma ED Visit Rates,San Francisco,2013,18 and Over,Race-Ethnicity,Hispanic,359,38.4,7,28
Asthma ED Visit Rates,San Joaquin,2013,18 and Over,Race-Ethnicity,Hispanic,846,47.2,7,28
Asthma ED Visit Rates,San Luis Obispo,2013,18 and Over,Race-Ethnicity,Hispanic,82,19,7,28
Asthma ED Visit Rates,San Mateo,2013,18 and Over,Race-Ethnicity,Hispanic,724,52.1,7,28
Asthma ED Visit Rates,Santa Barbara,2013,18 and Over,Race-Ethnicity,Hispanic,331,22.9,7,28
Asthma ED Visit Rates,Santa Clara,2013,18 and Over,Race-Ethnicity,Hispanic,1468,41.8,7,28
Asthma ED Visit Rates,Santa Cruz,2013,18 and Over,Race-Ethnicity,Hispanic,161,26.4,7,28
Asthma ED Visit Rates,Shasta,2013,18 and Over,Race-Ethnicity,Hispanic,18,17.7,7,28
Asthma ED Visit Rates,Siskiyou,2013,18 and Over,Race-Ethnicity,Hispanic,5,,7,28
Asthma ED Visit Rates,Solano,2013,18 and Over,Race-Ethnicity,Hispanic,335,46.2,7,28
Asthma ED Visit Rates,Sonoma,2013,18 and Over,Race-Ethnicity,Hispanic,255,31.8,7,28
Asthma ED Visit Rates,Stanislaus,2013,18 and Over,Race-Ethnicity,Hispanic,559,37.9,7,28
Asthma ED Visit Rates,Sutter,2013,18 and Over,Race-Ethnicity,Hispanic,32,19.3,7,28
Asthma ED Visit Rates,Tehama,2013,18 and Over,Race-Ethnicity,Hispanic,16,21.8,7,28
Asthma ED Visit Rates,Tulare,2013,18 and Over,Race-Ethnicity,Hispanic,487,27.4,7,28
Asthma ED Visit Rates,Tuolumne,2013,18 and Over,Race-Ethnicity,Hispanic,9,,7,28
Asthma ED Visit Rates,Ventura,2013,18 and Over,Race-Ethnicity,Hispanic,647,28.7,7,28
Asthma ED Visit Rates,Yolo,2013,18 and Over,Race-Ethnicity,Hispanic,129,31.1,7,28
Asthma ED Visit Rates,Yuba,2013,18 and Over,Race-Ethnicity,Hispanic,35,38,7,28
Asthma ED Visit Rates,Alameda,2013,18 and Over,Race-Ethnicity,White,1579,36.5,7,28
Asthma ED Visit Rates,Amador,2013,18 and Over,Race-Ethnicity,White,190,94.5,7,28
Asthma ED Visit Rates,Butte,2013,18 and Over,Race-Ethnicity,White,531,42.5,7,28
Asthma ED Visit Rates,Calaveras,2013,18 and Over,Race-Ethnicity,White,147,55.5,7,28
Asthma ED Visit Rates,California,2013,18 and Over,Race-Ethnicity,White,42781,35.7,7,28
Asthma ED Visit Rates,Colusa,2013,18 and Over,Race-Ethnicity,White,32,57.9,7,28
Asthma ED Visit Rates,Contra Costa,2013,18 and Over,Race-Ethnicity,White,1673,41.8,7,28
Asthma ED Visit Rates,Del Norte,2013,18 and Over,Race-Ethnicity,White,69,53.8,7,28
Asthma ED Visit Rates,El Dorado,2013,18 and Over,Race-Ethnicity,White,378,36.6,7,28
Asthma ED Visit Rates,Fresno,2013,18 and Over,Race-Ethnicity,White,1409,61.1,7,28
Asthma ED Visit Rates,Glenn,2013,18 and Over,Race-Ethnicity,White,60,59.1,7,28
Asthma ED Visit Rates,Humboldt,2013,18 and Over,Race-Ethnicity,White,628,77.1,7,28
Asthma ED Visit Rates,Imperial,2013,18 and Over,Race-Ethnicity,White,149,74.9,7,28
Asthma ED Visit Rates,Inyo,2013,18 and Over,Race-Ethnicity,White,41,54.5,7,28
Asthma ED Visit Rates,Kern,2013,18 and Over,Race-Ethnicity,White,1157,45.7,7,28
Asthma ED Visit Rates,Kings,2013,18 and Over,Race-Ethnicity,White,374,85.4,7,28
Asthma ED Visit Rates,Lake,2013,18 and Over,Race-Ethnicity,White,263,75.7,7,28
Asthma ED Visit Rates,Lassen,2013,18 and Over,Race-Ethnicity,White,55,29.6,7,28
Asthma ED Visit Rates,Los Angeles,2013,18 and Over,Race-Ethnicity,White,6939,30.9,7,28
Asthma ED Visit Rates,Madera,2013,18 and Over,Race-Ethnicity,White,140,29.6,7,28
Asthma ED Visit Rates,Marin,2013,18 and Over,Race-Ethnicity,White,331,21.3,7,28
Asthma ED Visit Rates,Mariposa,2013,18 and Over,Race-Ethnicity,White,44,45.5,7,28
Asthma ED Visit Rates,Mendocino,2013,18 and Over,Race-Ethnicity,White,283,72.1,7,28
Asthma ED Visit Rates,Merced,2013,18 and Over,Race-Ethnicity,White,397,58.8,7,28
Asthma ED Visit Rates,Modoc,2013,18 and Over,Race-Ethnicity,White,25,56.2,7,28
Asthma ED Visit Rates,Mono,2013,18 and Over,Race-Ethnicity,White,24,31.3,7,28
Asthma ED Visit Rates,Monterey,2013,18 and Over,Race-Ethnicity,White,372,37.5,7,28
Asthma ED Visit Rates,Napa,2013,18 and Over,Race-Ethnicity,White,256,40.4,7,28
Asthma ED Visit Rates,Nevada,2013,18 and Over,Race-Ethnicity,White,252,42.9,7,28
Asthma ED Visit Rates,Orange,2013,18 and Over,Race-Ethnicity,White,3159,29.7,7,28
Asthma ED Visit Rates,Placer,2013,18 and Over,Race-Ethnicity,White,674,32.4,7,28
Asthma ED Visit Rates,Plumas,2013,18 and Over,Race-Ethnicity,White,51,48.2,7,28
Asthma ED Visit Rates,Riverside,2013,18 and Over,Race-Ethnicity,White,2295,33.7,7,28
Asthma ED Visit Rates,Sacramento,2013,18 and Over,Race-Ethnicity,White,2420,44,7,28
Asthma ED Visit Rates,San Benito,2013,18 and Over,Race-Ethnicity,White,81,57,7,28
Asthma ED Visit Rates,San Bernardino,2013,18 and Over,Race-Ethnicity,White,2647,49.6,7,28
Asthma ED Visit Rates,San Diego,2013,18 and Over,Race-Ethnicity,White,2903,23.6,7,28
Asthma ED Visit Rates,San Francisco,2013,18 and Over,Race-Ethnicity,White,722,25.1,7,28
Asthma ED Visit Rates,San Joaquin,2013,18 and Over,Race-Ethnicity,White,1094,56.3,7,28
Asthma ED Visit Rates,San Luis Obispo,2013,18 and Over,Race-Ethnicity,White,409,31.6,7,28
Asthma ED Visit Rates,San Mateo,2013,18 and Over,Race-Ethnicity,White,596,23.1,7,28
Asthma ED Visit Rates,Santa Barbara,2013,18 and Over,Race-Ethnicity,White,485,32.1,7,28
Asthma ED Visit Rates,Santa Clara,2013,18 and Over,Race-Ethnicity,White,1307,25.8,7,28
Asthma ED Visit Rates,Santa Cruz,2013,18 and Over,Race-Ethnicity,White,397,33.6,7,28
Asthma ED Visit Rates,Shasta,2013,18 and Over,Race-Ethnicity,White,549,51.7,7,28
Asthma ED Visit Rates,Siskiyou,2013,18 and Over,Race-Ethnicity,White,111,47.6,7,28
Asthma ED Visit Rates,Solano,2013,18 and Over,Race-Ethnicity,White,784,57.8,7,28
Asthma ED Visit Rates,Sonoma,2013,18 and Over,Race-Ethnicity,White,1007,38.8,7,28
Asthma ED Visit Rates,Stanislaus,2013,18 and Over,Race-Ethnicity,White,1021,53,7,28
Asthma ED Visit Rates,Sutter,2013,18 and Over,Race-Ethnicity,White,119,32.2,7,28
Asthma ED Visit Rates,Tehama,2013,18 and Over,Race-Ethnicity,White,195,63.7,7,28
Asthma ED Visit Rates,Trinity,2013,18 and Over,Race-Ethnicity,White,35,47.9,7,28
Asthma ED Visit Rates,Tulare,2013,18 and Over,Race-Ethnicity,White,407,37.5,7,28
Asthma ED Visit Rates,Tuolumne,2013,18 and Over,Race-Ethnicity,White,143,44.2,7,28
Asthma ED Visit Rates,Ventura,2013,18 and Over,Race-Ethnicity,White,867,28.3,7,28
Asthma ED Visit Rates,Yolo,2013,18 and Over,Race-Ethnicity,White,288,34.5,7,28
Asthma ED Visit Rates,Yuba,2013,18 and Over,Race-Ethnicity,White,161,49.8,7,28
Asthma ED Visit Rates,Alameda,2013,18 and Over,Sex,Female,4125,65.7,7,28
Asthma ED Visit Rates,Amador,2013,18 and Over,Sex,Female,132,117.5,7,28
Asthma ED Visit Rates,Butte,2013,18 and Over,Sex,Female,422,51.2,7,28
Asthma ED Visit Rates,Calaveras,2013,18 and Over,Sex,Female,107,66.6,7,28
Asthma ED Visit Rates,California,2013,18 and Over,Sex,Female,71795,48.7,7,28
Asthma ED Visit Rates,Colusa,2013,18 and Over,Sex,Female,33,44.2,7,28
Asthma ED Visit Rates,Contra Costa,2013,18 and Over,Sex,Female,3022,71.4,7,28
Asthma ED Visit Rates,Del Norte,2013,18 and Over,Sex,Female,51,55.8,7,28
Asthma ED Visit Rates,El Dorado,2013,18 and Over,Sex,Female,307,47.7,7,28
